Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
2013/09/13,07:00:00,0,0.8351685779999991,13.5,0.241
2013/09/13,08:00:00,0,0.8315383799999995,13.5,0.241
2013/09/13,09:00:00,0,0.835092679999999,13.5,0.241
2013/09/13,10:00:00,0,0.8361351200000001,13.5,0.24
2013/09/13,11:00:00,0,0.8337692980000009,13.5,0.24
2013/09/13,12:00:00,0,0.8362118780000003,13.5,0.24
2013/09/13,13:00:00,0,0.8362262400000009,13.5,0.24
2013/09/13,14:00:00,0,0.8364337599999988,13.5,0.24
2013/09/13,15:00:00,0,0.8314832999999987,13.5,0.24
2013/09/13,16:00:00,0,0.8338910779999992,13.5,0.24
2013/09/13,17:00:00,0,0.8342220980000014,13.5,0.24
2013/09/13,18:00:00,0,0.8302842780000015,13.6,0.24
2013/09/13,19:00:00,0,0.8300807379999992,13.6,0.24
2013/09/13,20:00:00,0,0.8332987999999989,13.6,0.24
2013/09/13,21:00:00,0,0.8315173999999991,13.6,0.24
2013/09/13,22:00:00,0,0.8300283999999999,13.5,0.24
2013/09/13,23:00:00,0,0.8315173999999991,13.5,0.24
2013/09/14,00:00:00,0,0.8337657999999999,13.5,0.24
2013/09/14,01:00:00,0,0.8360141999999996,13.6,0.24
2013/09/14,02:00:00,0,0.8310618579999993,13.6,0.24
2013/09/14,03:00:00,0,0.8307685979999997,13.6,0.24
2013/09/14,04:00:00,0,0.8292764779999993,13.6,0.24
2013/09/14,05:00:00,0,0.8309085579999999,13.6,0.24
2013/09/14,06:00:00,0,0.8270943999999997,13.6,0.24
2013/09/14,07:00:00,0,0.8324514000000011,13.6,0.24
2013/09/14,08:00:00,0,0.8298523999999986,13.6,0.24
2013/09/14,09:00:00,0,0.831750199999999,13.6,0.24
2013/09/14,10:00:00,0,0.8294435999999985,13.6,0.24
2013/09/14,11:00:00,0,0.8291238220000002,13.6,0.24
2013/09/14,12:00:00,0,0.8286558000000003,13.6,0.24
2013/09/14,13:00:00,0,0.8253570000000002,13.6,0.24
2013/09/14,14:00:00,0,0.8311384000000009,13.6,0.24
2013/09/14,15:00:00,0,0.8268757999999992,13.7,0.241
2013/09/14,16:00:00,0,0.827245817999999,13.7,0.241
2013/09/14,17:00:00,0,0.8286274000000003,13.7,0.242
2013/09/14,18:00:00,0,0.8270504000000016,13.7,0.242
2013/09/14,19:00:00,0,0.8250064000000009,13.7,0.242
2013/09/14,20:00:00,0,0.8249183999999992,13.7,0.242
2013/09/14,21:00:00,0,0.8264797999999997,13.7,0.242
2013/09/14,22:00:00,0,0.8276621999999998,13.7,0.242
2013/09/14,23:00:00,0,0.8238822000000005,13.7,0.242
2013/09/15,00:00:00,0,0.8257076000000007,13.7,0.242
2013/09/15,01:00:00,0,0.8245691999999986,13.7,0.243
2013/09/15,02:00:00,0,0.8243741599999999,13.7,0.242
2013/09/15,03:00:00,0,0.8257089999999994,13.7,0.242
2013/09/15,04:00:00,0,0.8255588199999999,13.7,0.242
2013/09/15,05:00:00,0,0.8234036379999986,13.7,0.243
2013/09/15,06:00:00,0,0.8240656780000006,13.7,0.243
2013/09/15,07:00:00,0,0.8229998399999999,14.0,0.244
2013/09/15,08:00:00,0,0.8251699780000001,14.0,0.243
2013/09/15,09:00:00,0,0.8285081000000014,14.1,0.243
2013/09/15,10:00:00,0,0.8284419400000002,14.3,0.243
2013/09/15,11:00:00,0,0.8224615200000005,13.8,0.238
2013/09/15,12:00:00,0,0.8230658999999991,13.8,0.241
2013/09/15,13:00:00,0,0.8200524000000007,13.9,0.242
2013/09/15,14:00:00,0,0.8206536600000004,13.9,0.242
2013/09/15,15:00:00,0,0.8233631980000007,14.0,0.243
2013/09/15,16:00:00,0,0.8267972799999995,13.9,0.243
2013/09/15,17:00:00,0,0.8210611179999989,13.9,0.244
2013/09/15,18:00:00,0,0.8193883199999994,13.9,0.244
2013/09/15,19:00:00,0,0.819408598,13.9,0.244
2013/09/15,20:00:00,0,0.8246389780000004,14.0,0.245
2013/09/15,21:00:00,0,0.8205026200000008,13.9,0.244
2013/09/15,22:00:00,0,0.8196456980000005,14.0,0.245
2013/09/15,23:00:00,0,0.8193676600000004,13.9,0.245
2013/09/16,00:00:00,0,0.8166974979999998,13.9,0.245
2013/09/16,01:00:00,0,0.8176328980000005,13.9,0.245
2013/09/16,02:00:00,0,0.8213593800000001,13.9,0.246
2013/09/16,03:00:00,0,0.8162804180000001,13.9,0.245
2013/09/16,04:00:00,0,0.8166626999999983,13.9,0.246
2013/09/16,05:00:00,0,0.8177868999999987,14.0,0.246
2013/09/16,06:00:00,0,0.8199802199999999,14.0,0.246
2013/09/16,07:00:00,0,0.8207456980000006,14.0,0.246
2013/09/16,08:00:00,0,0.8183237199999996,14.0,0.246
2013/09/16,09:00:00,0,0.8203197400000011,14.0,0.246
2013/09/16,10:00:00,0,0.8179814580000004,14.0,0.246
2013/09/16,11:00:00,0,0.8197015380000005,14.0,0.246
2013/09/16,12:00:00,0,0.8201103379999996,14.1,0.247
2013/09/16,13:00:00,0,0.8218291799999986,14.0,0.246
2013/09/16,14:00:00,0,0.8232137199999988,14.2,0.247
2013/09/16,15:00:00,0,0.8179124979999994,14.1,0.247
2013/09/16,16:00:00,0,0.8209883400000012,14.1,0.247
2013/09/16,17:00:00,0,0.8209664999999995,14.1,0.247
2013/09/16,18:00:00,0,0.8176844800000004,14.1,0.248
2013/09/16,19:00:00,0,0.819522679999999,14.1,0.248
2013/09/16,20:00:00,0,0.8196808199999986,14.1,0.248
2013/09/16,21:00:00,0,0.8143142979999993,14.2,0.248
2013/09/16,22:00:00,0,0.8194648000000007,14.1,0.248
2013/09/16,23:00:00,0,0.8212541599999986,14.2,0.249
2013/09/17,00:00:00,0,0.8158592379999994,14.2,0.249
2013/09/17,01:00:00,0,0.8162853580000001,14.2,0.249
2013/09/17,02:00:00,0,0.8214575379999985,14.1,0.248
2013/09/17,03:00:00,0,0.8175046579999992,14.4,0.25
2013/09/17,04:00:00,0,0.8208515999999997,14.5,0.251
2013/09/17,05:00:00,0,0.8184805600000005,14.3,0.25
2013/09/17,06:00:00,0,0.8177997999999991,14.3,0.249
2013/09/17,07:00:00,0,0.8190608399999997,14.4,0.249
2013/09/17,08:00:00,0,0.8212865399999987,14.4,0.249
2013/09/17,09:00:00,0,0.8194907779999994,14.4,0.249
2013/09/17,10:00:00,0,0.8181143600000007,14.3,0.248
2013/09/17,11:00:00,0,0.8162770199999989,14.4,0.248
2013/09/17,12:00:00,0,0.8166092780000008,14.4,0.249
2013/09/17,13:00:00,0,0.8201322199999993,14.5,0.249
2013/09/17,14:00:00,0,0.8185964779999995,14.4,0.249
2013/09/17,15:00:00,0,0.8149839779999991,14.4,0.248
2013/09/17,16:00:00,0,0.8143596979999995,14.4,0.248
2013/09/17,17:00:00,0,0.8156567780000011,14.4,0.248
2013/09/17,18:00:00,0,0.8152819199999988,14.5,0.249
2013/09/17,19:00:00,0,0.8161158179999995,14.5,0.249
